name,mean_counts,genre,cluster
Kore wa Zombie Desu ka?,0.18312354312354312,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",1
Bakuman.,0.18144522144522143,"Comedy, Romance, Shounen",1
Boku wa Tomodachi ga Sukunai Next,0.18023310023310024,"Comedy, Harem, Romance, School, Seinen, Slice of Life",1
Baka to Test to Shoukanjuu,0.17986013986013985,"Comedy, Romance, School, Super Power",1
Suzumiya Haruhi no Shoushitsu,0.1795804195804196,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",1
Ansatsu Kyoushitsu (TV),0.17939393939393938,"Action, Comedy, School, Shounen",1
Ore no Imouto ga Konnani Kawaii Wake ga Nai,0.17836829836829837,"Comedy, Seinen, Slice of Life",1
Suzumiya Haruhi no Yuuutsu,0.17771561771561772,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",1
Danshi Koukousei no Nichijou,0.17585081585081586,"Comedy, School, Shounen, Slice of Life",1
Overlord,0.1751981351981352,"Action, Adventure, Fantasy, Game, Magic, Supernatural",1
Death Note,0.2876735205093414,"Mystery, Police, Psychological, Supernatural, Thriller",2
Shingeki no Kyojin,0.1687506523327419,"Action, Drama, Fantasy, Shounen, Super Power",2
Fullmetal Alchemist: Brotherhood,0.16365723828410395,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",2
Code Geass: Hangyaku no Lelouch,0.1555370003131197,"Action, Mecha, Military, School, Sci-Fi, Super Power",2
Sen to Chihiro no Kamikakushi,0.15029746373029956,"Adventure, Drama, Supernatural",2
Sword Art Online,0.13825279198413526,"Action, Adventure, Fantasy, Game, Romance",2
Fullmetal Alchemist,0.1363531990397662,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",2
Code Geass: Hangyaku no Lelouch R2,0.13253313850328777,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",2
Angel Beats!,0.12800333994363844,"Action, Comedy, Drama, School, Supernatural",2
Elfen Lied,0.12478864419162927,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",2
Ouran Koukou Host Club,0.12316042166788435,"Comedy, Harem, Romance, School, Shoujo",2
Naruto,0.11733639494833524,"Action, Comedy, Martial Arts, Shounen, Super Power",2
Howl no Ugoku Shiro,0.10767143304456737,"Adventure, Drama, Fantasy, Romance",2
Toradora!,0.10074104999478134,"Comedy, Romance, School, Slice of Life",2
Tengen Toppa Gurren Lagann,0.09543888946874021,"Action, Adventure, Comedy, Mecha, Sci-Fi",2
Clannad,0.09495877257071286,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",2
Steins;Gate,0.09270431061475838,"Sci-Fi, Thriller",2
